wn	d((Ix(M1:Vd)-Ix(M2:Vd)))
5.000000000000000e-07	-2.014422e+02
5.100000000000000e-07	-2.013623e+02
5.200000000000000e-07	-2.012101e+02
5.300000000000000e-07	-2.010760e+02
5.400000000000000e-07	-2.009665e+02
5.500000000000000e-07	-2.008852e+02
5.599999999999999e-07	-2.008321e+02
5.699999999999999e-07	-2.008181e+02
5.800000000000000e-07	-2.008379e+02
5.900000000000000e-07	-2.008856e+02
6.000000000000000e-07	-2.009696e+02
6.100000000000000e-07	-2.010864e+02
6.200000000000000e-07	-2.012326e+02
6.300000000000000e-07	-2.014058e+02
6.400000000000000e-07	-2.015993e+02
6.499999999999999e-07	-2.018140e+02
6.600000000000000e-07	-2.020442e+02
6.699999999999999e-07	-2.022673e+02
6.799999999999999e-07	-2.024673e+02
6.900000000000000e-07	-2.026176e+02
7.000000000000000e-07	-2.026598e+02
7.100000000000000e-07	-2.024542e+02
7.200000000000000e-07	-2.015846e+02
7.300000000000000e-07	-1.983730e+02
7.400000000000000e-07	-1.894061e+02
7.500000000000000e-07	-1.715192e+02
7.599999999999999e-07	-1.359858e+02
7.700000000000000e-07	-8.042789e+01
7.799999999999999e-07	-3.436653e+01
7.900000000000001e-07	-1.551252e+01
8.000000000000000e-07	-9.633004e+00
8.100000000000000e-07	-7.198287e+00
8.200000000000000e-07	-5.863149e+00
8.300000000000000e-07	-4.993854e+00
8.400000000000000e-07	-4.366120e+00
8.499999999999999e-07	-3.886271e+00
8.600000000000000e-07	-3.503737e+00
8.699999999999999e-07	-3.189780e+00
8.800000000000000e-07	-2.926390e+00
8.899999999999999e-07	-2.701199e+00
9.000000000000000e-07	-2.506567e+00
9.100000000000000e-07	-2.336310e+00
9.200000000000000e-07	-2.186061e+00
9.300000000000000e-07	-2.052184e+00
9.400000000000000e-07	-1.931403e+00
9.500000000000000e-07	-1.823537e+00
9.599999999999999e-07	-1.725857e+00
9.700000000000000e-07	-1.636181e+00
9.799999999999999e-07	-1.554508e+00
9.899999999999998e-07	-1.479566e+00
1.000000000000000e-06	-1.409535e+00
1.010000000000000e-06	-1.345870e+00
1.020000000000000e-06	-1.287481e+00
1.030000000000000e-06	-1.232002e+00
1.040000000000000e-06	-1.180706e+00
1.050000000000000e-06	-1.132867e+00
1.060000000000000e-06	-1.088119e+00
1.070000000000000e-06	-1.046283e+00
1.080000000000000e-06	-1.006993e+00
1.090000000000000e-06	-9.695214e-01
1.100000000000000e-06	-9.345968e-01
1.110000000000000e-06	-9.022187e-01
1.120000000000000e-06	-8.709321e-01
1.130000000000000e-06	-8.414645e-01
1.140000000000000e-06	-8.134521e-01
1.150000000000000e-06	-7.872586e-01
1.160000000000000e-06	-7.621566e-01
1.170000000000000e-06	-7.381459e-01
1.180000000000000e-06	-7.155904e-01
1.190000000000000e-06	-6.937626e-01
1.200000000000000e-06	-6.733899e-01
1.210000000000000e-06	-6.537448e-01
1.220000000000000e-06	-6.348273e-01
1.230000000000000e-06	-6.170012e-01
1.240000000000000e-06	-5.999027e-01
1.250000000000000e-06	-5.835318e-01
1.260000000000000e-06	-5.678885e-01
1.270000000000000e-06	-5.529728e-01
1.280000000000000e-06	-5.384209e-01
1.290000000000000e-06	-5.242327e-01
1.300000000000000e-06	-5.107722e-01
1.310000000000000e-06	-4.980393e-01
1.320000000000000e-06	-4.860340e-01
1.330000000000000e-06	-4.743924e-01
1.340000000000000e-06	-4.627509e-01
1.350000000000000e-06	-4.514732e-01
1.360000000000000e-06	-4.409230e-01
1.370000000000000e-06	-4.311005e-01
1.380000000000000e-06	-4.212779e-01
1.390000000000000e-06	-4.114554e-01
1.400000000000000e-06	-4.019967e-01
1.410000000000000e-06	-3.932655e-01
1.420000000000000e-06	-3.848982e-01
1.430000000000000e-06	-3.765308e-01
1.440000000000000e-06	-3.688911e-01
1.450000000000000e-06	-3.608875e-01
1.460000000000000e-06	-3.532477e-01
1.470000000000000e-06	-3.463356e-01
1.480000000000000e-06	-3.390596e-01
1.490000000000000e-06	-3.321475e-01
1.500000000000000e-06	-3.255991e-01
1.510000000000000e-06	-3.190507e-01
1.520000000000000e-06	-3.128662e-01
1.530000000000000e-06	-3.070454e-01
1.540000000000000e-06	-3.008608e-01
1.550000000000000e-06	-2.950401e-01
1.560000000000000e-06	-2.899469e-01
1.570000000000000e-06	-2.844899e-01
1.580000000000000e-06	-2.790330e-01
1.590000000000000e-06	-2.743036e-01
1.600000000000000e-06	-2.692104e-01
1.610000000000000e-06	-2.641173e-01
1.620000000000000e-06	-2.597517e-01
1.630000000000000e-06	-2.553861e-01
1.640000000000000e-06	-2.506567e-01
1.650000000000000e-06	-2.462912e-01
1.660000000000000e-06	-2.422894e-01
1.670000000000000e-06	-2.379238e-01
1.680000000000000e-06	-2.339220e-01
1.690000000000000e-06	-2.302841e-01
1.700000000000000e-06	-2.266461e-01
1.710000000000000e-06	-2.226443e-01
1.720000000000000e-06	-2.190063e-01
1.730000000000000e-06	-2.157321e-01
1.740000000000000e-06	-2.120942e-01
1.750000000000000e-06	-2.088200e-01
1.760000000000000e-06	-2.055458e-01
1.770000000000000e-06	-2.022716e-01
1.780000000000000e-06	-1.993612e-01
1.790000000000000e-06	-1.960871e-01
1.800000000000000e-06	-1.928129e-01
1.810000000000000e-06	-1.902663e-01
1.820000000000000e-06	-1.875378e-01
1.830000000000000e-06	-1.846274e-01
1.840000000000000e-06	-1.818989e-01
1.850000000000000e-06	-1.793524e-01
1.860000000000000e-06	-1.768058e-01
1.870000000000000e-06	-1.742592e-01
1.880000000000000e-06	-1.717126e-01
1.890000000000000e-06	-1.693479e-01
1.900000000000000e-06	-1.671651e-01
1.910000000000000e-06	-1.644366e-01
1.920000000000000e-06	-1.622539e-01
1.930000000000000e-06	-1.600711e-01
1.940000000000000e-06	-1.578883e-01
1.950000000000000e-06	-1.557055e-01
1.960000000000000e-06	-1.535227e-01
1.970000000000000e-06	-1.517037e-01
1.980000000000000e-06	-1.495209e-01
1.990000000000000e-06	-1.473381e-01
2.000000000000000e-06	-1.455192e-01
2.010000000000000e-06	-1.440640e-01
2.020000000000000e-06	-1.418812e-01
2.030000000000000e-06	-1.396984e-01
2.040000000000000e-06	-1.382432e-01
2.050000000000000e-06	-1.367880e-01
2.060000000000000e-06	-1.349690e-01
2.070000000000000e-06	-1.327862e-01
2.080000000000000e-06	-1.313310e-01
2.090000000000000e-06	-1.298758e-01
2.100000000000000e-06	-1.280569e-01
2.110000000000000e-06	-1.266017e-01
2.120000000000000e-06	-1.251465e-01
2.130000000000000e-06	-1.236913e-01
2.140000000000000e-06	-1.222361e-01
2.150000000000000e-06	-1.207809e-01
2.160000000000000e-06	-1.193257e-01
2.170000000000000e-06	-1.178705e-01
2.180000000000000e-06	-1.164153e-01
2.190000000000000e-06	-1.149601e-01
2.200000000000000e-06	-1.135049e-01
2.210000000000000e-06	-1.124135e-01
2.220000000000000e-06	-1.113222e-01
2.230000000000000e-06	-1.098670e-01
2.240000000000000e-06	-1.087756e-01
2.250000000000000e-06	-1.076842e-01
2.260000000000000e-06	-1.062290e-01
2.270000000000000e-06	-1.047738e-01
2.280000000000000e-06	-1.036824e-01
2.290000000000000e-06	-1.029548e-01
2.300000000000000e-06	-1.018634e-01
2.310000000000000e-06	-1.004082e-01
2.320000000000000e-06	-9.931682e-02
2.330000000000000e-06	-9.858923e-02
2.340000000000000e-06	-9.749783e-02
2.350000000000000e-06	-9.604264e-02
2.360000000000000e-06	-9.531504e-02
